rk,athlete_name,wikipedia_page_add
1,Serena Williams,
2,Venus Williams,
3,Simone Biles,
4,LeBron James,
5,Eli Manning,
6,John Cena,
7,Tiger Woods,
8,Stephen Curry,
9,Drew Brees,
10,Tom Brady,
11,Phil Mickelson,
12,Aaron Rodgers,
13,Maria Sharapova,
14,Colin Kaepernick,
15,Kevin Durant,
16,Lindsey Vonn,
17,Bubba Wallace,
18,Ronda Rousey,
19,Carlos Santana,(baseball)
20,Shaun White,
21,Manny Pacquiao,
22,Rob Gronkowski,
23,J.J. Watt,
24,Russell Wilson,
25,Patrick Mahomes,
26,Roger Federer,
27,The Undertaker,
28,Marco Andretti,
29,Lamar Jackson,
30,Cam Newton,
31,Larry Fitzgerald,
32,Michelle Wie,
33,Andrew Luck,
34,Jimmie Johnson,
35,Ben Roethlisberger,
36,James Harden,
37,Justin Verlander,
38,Matt Ryan,
39,Albert Pujols,
40,Rafael Nadal,
41,Kyle Busch,
42,Adrian Peterson,
43,Adam Vinatieri,
44,Jeremy Lin,
45,Kerri Walsh,
46,Dwight Howard,
47,Marshawn Lynch,
48,A.J. Green,
49,Odell Beckham Jr.,
50,Megan Rapinoe,
51,Nick Foles,
52,Mike Trout,
53,Carmelo Anthony,
54,Cristiano Ronaldo,
55,Bubba Watson,
56,Miguel Cabrera,
57,Felix Hernandez,
58,Richard Sherman,
59,Philip Rivers,
60,Alex Morgan,
61,Shawn Johnson,
62,Triple H,
63,Joe Flacco,
64,Russell Westbrook,
65,Vince Carter,
66,Derrick Rose,
67,Deshaun Watson,
68,Jason Witten,
69,Evan Longoria,
70,Kirk Cousins,
71,Von Miller,
72,Julian Edelman,
73,Rory McIlroy,
74,Dak Prescott,
75,Clay Matthews III,
76,Jose Ramirez,
77,DeSean Jackson,
78,Michael Oher,
79,Kurt Busch,
80,Lionel Messi,
81,Robert Griffin III,
82,Kyrie Irving,
83,Anthony Rizzo,
84,Julio Jones,
85,Blake Griffin,
86,Vladimir Guerrero Jr.,
87,Lolo Jones,
88,Matthew Stafford,
89,Mookie Betts,
90,Kawhi Leonard,
91,Novak Djokovic,
92,Jordan Spieth,
93,Clayton Kershaw,
94,Chris Jericho,
95,Carson Wentz,
96,Anthony Davis,
97,Kevin Harvick,
98,Vince McMahon,
99,Julius Peppers,
100,Manny Machado,